reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language,content_english
8f3a257f-df7d-4028-993a-027d70023b82,Matthias Knesel,https://play-lh.googleusercontent.com/a-/ALV-UjXbla8QZgxf5ufudPrug0qI1Ss8KxvcNk81SgS3B6LJ3OWO30et,Zuverlässigkeit Qualität Service,5,0,4.7.3,2024-09-12 13:31:57,,,4.7.3,German,"The reliability, quality, and service are top-notch! (Zuverlässigkeit Qualität Service)"
0e488f96-0605-4022-ab60-e961b2a5ae8e,Daniel Schneebeli,https://play-lh.googleusercontent.com/a-/ALV-UjXXU4QACwy7OQGDYZBhxbsZw3YsAw6-nCz7tgjkM_-3UfewUe-C,Nach Samsung Update geht der digitale Key auf S24 Plus nicht mehr. My BMW App meldet plötzlich nicht kompaktibles Handy. Bis vor dem Update ging es perfekt.,3,0,4.7.3,2024-09-12 06:37:03,,,4.7.3,German,"After the Samsung update, the Digital Key on my S24 Plus no longer works. The MyBMW App suddenly reports an incompatible mobile device. Everything worked perfectly before the update."
3ae83fa6-82c2-4831-94bd-8e4376094bdb,Da „M Da“ M,https://play-lh.googleusercontent.com/a/ACg8ocJG4f3HX_-MICGeKehG5Igspw6hWfDZt9EJl4amS3GeF5ByuA=mo,"Leider werden beim direkten Öffnen der App die Push-Ladebenachrichtigungen im Android, und das können bei überschussladen recht viele sein, nicht gelöscht und man muss diese einzeln löschen. Das schlimmste ist aber dass ich in dieser Auto App nicht einmal den Zustand meines Autos sehe: früher konnte ich den gesamten Servicebedarf ersehen und jetzt ist dieser nicht mehr aufzufinden! Was für ein Rückschritt! Jetzt ist es nur noch eine Marketing app. Man muss sich auch ständig neu einloggen.",2,6,4.7.3,2024-09-11 12:21:19,,,4.7.3,German,"Unfortunately, when directly opening the app on Android, the push charging notifications are not deleted, and there can be quite a lot of them, so you have to delete them one by one. The worst part is that I cannot even see the status of my car in this car app anymore: previously, I could see the entire service requirement, but now it's no longer findable! What a step backward! Now it's just a marketing app. You also have to log in repeatedly."
4f87e09f-1893-40c2-bbb5-6371a5458628,BroRene,https://play-lh.googleusercontent.com/a/ACg8ocL2C5N56-wN2GHFkk9OLVA-zbOebKraH-VuyWsTN_xplsPE6w=mo,"Fragt ständig nach Bewertung. Auch bei abgegebenen Bewertungen. Funktionsumfang ok aber häufig fehlerhaft. App speichert log in Daten nicht dauerhaft, erneutes einloggen regelmäßig von Nöten.",2,0,4.7.3,2024-09-10 18:50:13,"Hallo! Wir bedauern, dass Sie diese Probleme mit der My BMW App haben! Bitte aktualisieren Sie Ihre My BMW App auf die Version 4.9.2. Das Problem mit der ständigen Auswertung sollte behoben sein. Wenden Sie sich bezüglich des Anmeldeproblems bitte an den BMW-Kundensupport. Die Nummer finden Sie unter „Profil“ > „Kontakt“. - My BMW App Support Team",2024-09-23 16:16:17,4.7.3,German,"The app constantly asks for a review even after submitting one. The functionality is okay but frequently incorrect. MyBMW App does not save login data permanently, so relogging is regularly necessary."
59bd4e63-9ceb-4e5b-969b-aaf48489780f,Volker Deppe,https://play-lh.googleusercontent.com/a/ACg8ocJNXjw7W6qknxN-YdT9gUD76VoVI-rklmeLUma13QdNtUAE=mo,In Verbindung mit meinem I3 S eine wirklich nützliche App. Nun (September 2024) mit Jahresübersicht Stromverbrauch. Schön wäre noch eine Fernbedienung für die Fenster.,5,0,4.9.0,2024-09-10 17:38:23,"Hallo Volker! Danke für Dein positives Feedback! Wir freuen uns, dass Dir die My BMW App gefällt! Die Option zum Öffnen und Schließen von Fenstern ist jetzt innerhalb einer Reichweite von 50 m von Ihrem BMW für Fahrzeuge mit Digital Key Plus und einer Softwareversion von November 2023 oder neuer verfügbar. - My BMW App Support Team",2024-09-18 14:20:43,4.9.0,German,"In connection with my i3 S, a really useful app. Now (September 2024) with yearly overview of electricity consumption. It would be nice to have a remote control for the windows."
8fcf15cb-bc66-4813-ae5f-4eedf94ab57c,Kadir İnce,https://play-lh.googleusercontent.com/a-/ALV-UjU5_k-jTDW8ceWiT_oSMt7VSJQE8Eu-jpErYzUP3lpuw_X0Q4c,"Plötzlich funktioniert die App nicht. Man bekommt folgende Meldung ""Keine online Verbindung, Verbindung wiederherstellen und wiederholen"". Cache leeren hat nichts gebracht. Was muss man noch machen damit app sich mit Internet verbinden kann? Übrigens, seit ca. 3 Wochen so und ich habe gar keine Problem mit Internet und alle anderen Apps funktionieren nur my bmw app behauptet dass es keine Verbindung da seie.....",1,2,4.7.3,2024-09-10 17:29:39,"Hallo Kadir! Wir bedauern, dass du diese Probleme mit der My BMW App hast! Bitte wende dich an den BMW Kundensupport. Die Nummer des BMW Kundensupports findest du unter https://www.bmw-connecteddrive.com/country-region-select/country-region-selection.html. Wähle bitte dein Wohnsitzland aus und dann ""Kontakt"" anwählen. - My BMW App Support Team",2024-09-18 14:27:18,4.7.3,German,"Suddenly, the app isn't working. It gives the following message: ""No online connection, reconnect and try again."" Emptying the cache hasn't helped either. What else do I need to do so that the app can connect to the internet? By the way, this has been going on for about 3 weeks now, and I don't have any internet problems at all; other apps are working fine, only the MyBMW App claims there's no connection...."
817ea57d-9cea-4ab0-bf36-0fcc540ad3f1,Andreas Schmidt,https://play-lh.googleusercontent.com/a/ACg8ocI23k6UHpM0qordUQrHIsniFHVR_JfkQM-mAiMukcGSbOSuQA=mo,Bis jetzt bin ich sehr zufrieden,5,0,4.7.3,2024-09-10 13:19:35,,,4.7.3,German,"Bis jetzt bin ich sehr zufrieden
English: So far, I am very satisfied"
ee7851bc-b991-4f7a-8f79-e83a395506e6,Pix Xler,https://play-lh.googleusercontent.com/a-/ALV-UjXY7Sc5Qe-Ljn8yeLeLdT6rZD9whgvYoOpt3y5bBnFQPLVAz1aJ,"Schon gut gereift. Aber der Tarifwechsel beim BMW Charging ist noch vollkommen unausgegoren in der App. Mal abgesehen davon, dass der Tarifwechsel auf Nachfrage nur zum Monatsende möglich sei, was situativ höchst unpraktisch ist und vor der Tarifwahl nicht angegeben wird. Teuer sind die Tarife obendrein.",4,0,4.7.3,2024-09-10 10:24:14,,,4.7.3,German,"Already quite mature. But the tariff change in the MyBMW App for BMW Charging is still completely unrefined. To begin with, the tariff change is only possible at the end of the month upon request, which is highly impractical in certain situations and not mentioned before the tariff selection. Moreover, the tariffs are also expensive."
dccc1b65-e1da-475f-8d46-d07d76237fca,Ayoob Jabbar Khudhur,https://play-lh.googleusercontent.com/a-/ALV-UjUjf3zTBIuGzN_u6ziAZuRIgV9zhEI9YswLVqCCN24H3-KqN5Tn,BMW number one😍👌,5,0,4.7.3,2024-09-09 19:14:52,,,4.7.3,German,BMW number one😍👌
af8c88ee-3c10-45ed-b3f0-7ac8e78e5f1c,Rainer Klein,https://play-lh.googleusercontent.com/a/ACg8ocI1qzhtqcAXuiWbYfbr-aIrSFr4MaOdusUBkxsAQ4Bsw1xyvw=mo,Sehr gute app aber zeigt nicht die KW beim Laden an,4,0,4.7.3,2024-09-09 16:44:19,"Hallo Rainer! Danke für Dein positives Feedback! Wir freuen uns, dass Dir die My BMW App gefällt! Deine Anregungen geben wir an unser Produktteam weiter. - My BMW App Support Team",2024-09-18 16:21:38,4.7.3,German,"Very good app, but it doesn't show the charging status during charging."
